text,label,source_file
[SECTION 1] specific labeling requirement labeling requirement alcoholic beverage beverage containing percent alcohol alcohol proof required label alcoholic beverage less percent alcoholic content shall state product expiry date label alcoholic beverage required contain label showing alcoholic volume warning alcohol consumption may cause health problem label also contain warning woman drink alcoholic beverage pregnancy risk birth defect labeling requirement genetically modified food food must carry label following statement genetically modified genetically modified organism comparable description labeling requirement food treated ionizing radiation irradiated food must contain phrase irradiated internationally accepted food irradiation symbol indicating food product irradiated ionizing radiation may placed besides labeling labeling requirement baby food product labeling requirement baby food shall accordance national compulsory general standard prepackaged food labeling ce label shall discourage breastfeeding manner shall designed provide necessary information appropriate use product product shall described presented label labeling manner false misleading discouraging breastfeeding likely create erroneous impression regarding character respect neither container label shall picture infant picture text may idealize use product use word humanized maternalized similaranalogous expression infant food prohibited immediate container product shall affixed written label bearing following particular clearly legible conspicuous indelible manner least amharic english name product identification infant formula complementary food followup formula equivalent word important notice capital letter indicated statement breastfeeding normal optimal way feed infant young child breast milk important healthy growth development infant young child protects diarrhea illness character less onethird size character product name case less height statement superiority breast milk using letter font size statement product used advice health professional need use proper method use precaution warning necessary appropriate instruction use preparation name full address manufacturer including country origin list ingredient nutritional information declaring numerical form amount nutrient present product per portion product recommended daily consumption amount per unit single use net content weight powdered product volume liquid date manufacture expiry shall indented indicate least month year product consumed considering climatic storage condition storage condition appropriate shelf life product opening reconstitution batch lot number required professional advice necessary statement breast milk best food baby comparable statement regarding superiority breastfeeding breast milk shall provided ingredient label product shall listed accordance following sub article source protein product shall identified clearly shown label except single ingredient product list ingredient shall declared label ingredient animal plant scientific name plant part animal plant used shall declared additive filler artificial color sweetener flavor binder shall listed specific name number qualified word natural artificial descending order weight volume labeling requirement baby food infant young child manufacturer distributor shall offer sale sell baby food infant young child labeling includes photograph drawing graphic representation illustrating method preparation manufacturer distributor shall offer sale sell baby food infant young child unless labeling indicates clear conspicuous easily readable manner amharic english following particular instruction appropriate preparation use word easily understood graphic age numeric figure product recommended warning health risk improper use preparation storage introducing product prior recommended age minimum font tall letter based lowercase letter bold red color white background package less 200 cm2 available label space large font proportion size larger package less onethird size character product name case less height bold red letter white background list ingredient declaration nutritional value accordance relevant national standard absence standard relevant codex standard required storage condition opening considering climatic condition product category whether infant followup growing complimentary food age group etc contains word warning indicated statement deciding supplement replace breastfeeding product seek advice health professional important baby health follow preparation instruction carefully use feeding bottle baby may refuse feed breast hygienic feed cup character less onethird size character product name case less height bold red white background preparation instruction infant followup formula powdered form stating powdered formula sterile may contaminated pathogenic microorganism manufacturing process may become contaminated preparation necessary formula prepared one feed time using water boiled 212 100 added powdered infant formula immediately water least 158 70c feeding baby cooled body temperature unused milk must discarded immediately every feed includes feeding chart preparation instruction case followup formula state product shall used infant less six month old used sole source nutrition infant character less one third size character product name case less 3mm height manufacturer distributor shall offer sale sell young child formula unless container label affixed thereto state product shall used feed infant month used sole source nutrition young child character less onethird size character product name case less 3mm height manufacturer distributor shall offer sale sell baby food infant young child labeling contains health nutrition claim representation state suggests relationship exists product constitute thereof health including physiological role nutrient growth development normal function body labeling requirement readytouse therapeutic complementary food labeling requirement readytouse therapeutic food complimentary food product accordance national compulsory standard ce general standard pre packaged food labeling addition following requirement mentioned subsequent article also respected manufacturer distributor shall offer sale sell readytofeed therapeutic food complementary food product container label affixed thereto contains text image representation suggests suitability product infant six month including limited reference development milestone clearly reached six month use picture infant appearing younger six month text image representation product likely undermine discourage breastfeeding create belief product equivalent superior breast milk text image representation undermines discourages appropriate complementary feeding may suggest product inherently superior home prepared complementary food recommendation feed product bottle otherwise promote use bottle feeding endorsement anything may conveyed construed endorsement health professional association health professional body element allows crosspromotion baby food infant young child addition requirement subarticle label readytofeed therapeutic food complementary food product shall include statement character less onethird size character product name case less height importance exclusive breastfeeding first six month continued breastfeeding two year beyond recommended age introduction less six month 180 day statement early introduction complementary food negatively affect breast feeding instruction preparation storage handling use feeding chart showing appropriate rationserving size consistent guiding principle issued world health organization prohibition related labeling skimmed condensed milk labeling requirement skimmed condensed milk feeding accordance national compulsory standard ce manufacturer distributor shall offer sale sell skimmed condensed milk powder liquid form unless container label affixed thereto contains word product used feed infant character less onethird size character product name case less height labeling requirement lowfat standard milk labeling requirement lawfat standard milk accordance national compulsory standard ce general standard prepackaged food labeling manufacturer distributor shall offer sale sell lowfat standard milk powder liquid form unless container label affixed thereto contains word product used infant sole source nourishment character less onethird size character product name case less height labeling requirement plantbased meatdairy alternative ethiopian standard plantbased meat dairy alternative labeling requirement prepackaged food addition general labeling requirement prepackaged food following specific labeling element required plantbased meat product texturized soy protein tsp clear statement food human label dairy alternative soymilk label shall clear instruction disposal used package required labeling element raw material food product name raw material ingredient list net content name address producer andor importer country origin lot identification expiry date minimum useful life condition product storage labeling requirement fortified food micronutrient presentation description fortified food label labeling shall false misleading deceptive likely create erroneous impression regarding character respect label shall clearly indicate pack size unit pack label shall affixed every primary packaging fortified food micronutrient bearing following information clearly legible indelible letter least amharic andor english language name product name full address manufacturer including country origin list ingredient name amount micronutrient available net content weight solid product volume liquid date manufacture shelflife shall indicate least month year storage condition appropriate shelflife product opening reconstitution batch lot number,1,FAIRS Country Report Annual_Addis Ababa_Ethiopia_ET2024-0018.txt
[SECTION 1] following information must contained barcode submitted advance algerian chamber commerce industry chambre algerienne commerce dindustrie caci foodstuff product description name company name registered trademark address manufacturer packer distributor importer food imported country origin andor provenance food imported list ingredient ingredient foodstuff derivative causing allergy intolerance used manufacture preparation foodstuff still present finished product even modified form nutritional labeling net quantity expressed according international metric system special storage condition andor use actual alcoholic strength volume title beverage containing alcohol volume term halal applicable product photo useful information may also added nonfood product product description name company name registered trademark address manufacturer conditioner distributor importer product imported country origin andor provenance product imported safetyrelated mark conformity reference prior authorization product needing authorization net weight product expressed international metric system unit safety precaution composition product storage condition product photo useful information also added barcode accompanied global trade item number gtin must affixed product packaging barcode must relay mandatory information arabic option another language accessible consumer mandatory information must registered authorized organization platform bar code must affixed visibly indelibly allowing information read optical reader provided article decree locally manufactured product barcode affixed receiving barcode number issued authorized organization organization carrying product barcode coding activity introduce ministry charge consumer protection fraud prevention ministry commerce request accreditation responsible issuing code number bar decree outline article condition requirement accreditation,1,FAIRS Country Report Annual_Algiers_Algeria_AG2024-0013.txt
[SECTION 1] addition compulsory labeling certain foodstuff infant followon formula wine aromatized wine spirit drink food supplement energy drink nonalcoholic beverage sugar honey coffee meat meat product fruit juice dairy product additional specific labeling requirement vertical communique available gdfcs website turkish turkish food codex regulation nutrition claim nutrition claim may used labeling presentation advertising food placed market end consumer use nutrition claim shall false ambiguous misleading give rise doubt safety andor nutritional adequacy food encourage condone excess consumption food state suggest imply balanced varied diet provide appropriate quantity nutrient general refer change bodily function could give rise exploit fear consumer either textually pictorial graphic symbolic representation nutrition labeling mandatory nutrition claim made either label sort presentation advertisement food nutrition claim food food group made without prejudice vertical horizontal legislation exists nutrition labeling includes energy value fat saturated fat trans fat monounsaturated fat poly unsaturated fat carbohydrate sugar polyols starch protein required fiber saltsodium vitamin mineral 100 100 reference daily intake value energy nutrient given vitamin mineral displayed label amount vitaminmineral met percent reference daily intake value 100 100 foodstuff milk dairy product product beverage beverage amount percent 100 product question reference daily intake value energy nutrient vitamin mineral energy nutrient reference intake value energy 8400kj 2000 kcal sugar total fat saturated fat salt carbohydrate 260 protein fiber value set adult reference daily intake value vitamin mineral nutrient nutrition reference nutrient nutrition reference intake value intake value vitamin 800 chloride 800 vitamin calcium 800 vitamin phosphorus 700 vitamin magnesium 375 vitamin iron thiamin zinc riboflavin cupper niacin manganese vitamin fluoride folic acid 200 selenium vitamin b12 chromium biotin molybdenum pantothenic acid iodine 150 potassium 2000 value set healthy people four year old nutrition claim condition allowed regulation follows energynutrient nutrition claim condition claim must least percent energycalorienutrients reduced less reduction amount energynutrients compared similar product claim regarding energy value made also stated feature food result decrease total energy value energy value 100 solid food energycalorie low must kcal 170kj energy value 100 liquid food must kcal 80kj table sweetener energy value serving must kcal sweetness must equivalent sucrose teaspoon sucrose energy value 100 liquid energy freecalorie food must kcal free 17kj table sweetener energy value serving must kcal sweetness must equivalent sucrose teaspoon sucrose amount fat 100 solid food fat low must amount fat 100 liquid food must amount fat 100 solid food fat free 100 liquid food must fat free food claim percent fat free indicating reduction amount fat made total saturated fatty acid saturated fat low trans fatty acid 100 solid food must total saturated fatty acid trans fatty acid 100 liquid food must 075 energy provided sum saturated fatty acid trans fatty acid must exceed percent total energy total saturated fatty acid saturated fat free trans fatty acid 100 solid 100 liquid food must amount alphalinolenic acid omega fatty acid sourcecontainadded ala 100 100 kcal food must least total amount eicosapentaenoic acid epa docosahexaenoic acid dha 100 100 kcal food must least amount alphalinolenic acid high ala 100 100 kcal food must least total amount eicosapentaenoic acid epa docosahexaenoic acid dha 100 100 kcal food must least least percent fatty acid monounsaturated fat high food must consist monounsaturated fat monounsaturated fat must provide percent energy food least percent fatty acid polyunsaturated fat high food must consist polyunsaturated fat polyunsaturated fat must provide percent energy food least percent fatty acid unsaturated fat high food must consist unsaturated fat unsaturated fat must provide percent energy food amount trans fatty acid fat trans fat contain trans food containing fat fat ingredient must less per total fat amount sugar 100 solid sugar low food must amount sugar 100 liquid food must amount sugar 100 solid sugar free 100 liquid food must food must contain mono contain added disaccharide food sugarwith added added sweetening purpose sugar food naturally contains sugar phrase naturally contains sugar indicated label reduction least percent sodium salt reducedless amount sodium equivalent salt must achieved compared similar product 100 solid 100 liquid low food must 012 sodium 031 salt 100 solid 100 liquid low food must 004 sodium salt 100 solid 100 liquid sodium freesalt free food must 0005 sodium 0013 salt value given source fiber increasedmore claim must met food must contain least percent fiber similar product amount fiber 100 food sourcecontainadded must least amount fiber 100 kcal must least amount fiber 100 food high must least amount fiber 100 kcal must least value given source protein increasedmore claim must met food must contain least percent protein similar product least percent energy value sourcecontainadded food must provided protein least percent energy value high food must provided protein micronutrient given annex vitamin andor mineral reduced guideline must least unit decrease percentage micronutrient contained product meeting nutritional reference value compared similar product amount vitamin andor sourcecontainadded mineral product must certain amount defined annex5 guideline two time source claim must high met food comply condition specified declaration provided statement reduced less included label referring energy relevant nutrient another similar statement may also included fat part declaration requirement apply food classified according fat content claim condition apply sodiumsalt micronutrient vitamin mineral given annex5 guideline claim condition apply food classified according fat content word plenty used instead word high turkish food codex regulation nutrition claim accessible turkish regulation health claim food food supplement mmda moh competent authority approval health claim used label presentation advertising food food supplement mmda published regulation health claim food food supplement official gazette dated april 2023 available turkish guideline health claim food food supplement implementation regulation website may 2023 available turkish detailed information allowed health claim condition please see gain report health claim policy food food supplement türkiye dated june 2024 labelling baby food baby food except used medical purpose regulated gdfc two vertical communique turkish food codex communique infant followon formula available turkish turkish food codex communique supplementary food baby young child available turkish according communique term baby mean child age month young child mean child aged one three year addition compulsory information set turkish food codex regulation food labeling information consumer communique set additional compulsory labeling requirement product fall scope communique additional compulsory labelling infant formula infant formula must additional requirement label statement product suitable infant birth breastfed instruction appropriate preparation storage disposal product warning health hazard inappropriate preparation storage statement concerning superiority breast feeding statement recommending product used advice person qualification medicine nutrition pharmacy professional responsible maternal childcare nutrition claim allowed label infant formula additional compulsory labelling followon formula followon formula must additional requirement label statement product suitable infant age six month form part diversified diet used substitute breast milk first six month life decision begin complementary feeding including exception six month age made advice person qualification medicine nutrition pharmacy professional responsible maternal child care based individual infant specific growth development need instruction appropriate preparation storage disposal product warning health hazard inappropriate preparation storage nutrition claim allowed label followon formula line rule set regulation food labeling information consumer labeling presentation advertising infant formula followon formula must provide necessary information appropriate use product discourage breast feeding labelling presentation advertising infant formula followon formula must use term humanized materialized adapted term similar must designed way avoids risk confusion infant formula followon formula enables consumer make clear distinction particular text image color used statement lactose may used infant formula followon formula provided lactose carbohydrate present product statement lactose free contain lactose may used infant formula followon formula provided lactose content product greater mg100 kcal mg100 statement lactose free used infant formula followon formula manufactured protein source soy protein isolates accompanied statement suitable infant galactosaemia indicated font size prominence statement lactose free contain lactose close proximity additional compulsory labelling supplementary food supplementary baby food defined baby food processed cerealbased baby food processed cerealbased food turkish food codex communique supplementary food baby young child accessible turkish addition compulsory information set turkish food codex regulation food labeling information consumer communique supplementary food baby young child set specific additional compulsory labelling requirement product fall scope communique supplementary food baby young child must additional requirement label stated age must less four month product statement product used based advice healthcare professional information presence absence gluten indicated age product may used six month labeling food feed containing consisting deriving genetically engineered product addition general labeling rule specific labeling rule food feed containingconsisting deriving product set article regulation genetically modified organism product published official gazette august 2010 amended 2012 2014 currently event approved food use türkiye june 2024 corn event soybean event approved animal feed use imported animal feed must labeled contains genetically modified organism gmo contains approved event content percent within given shipment regulation available turkish labeling organic agricultural product product produced türkiye marketed domestically line requirement turkish organic legislation label turkish organic logo word organic imported organic product controlledinspected according turkish organic legislation certified organic complies domestically produced imported nonorganic agricultural product package box label designed product organic example label nonorganic product word bio biyo eco eko org implies misleads consumer product organic ninetyfive percent ingredient processed product produced compliance organic law force product labeled organic chapter five regulation organic agriculture principle practice available turkish set detailed requirement packaging labeling organic agricultural product marketed türkiye labeling plantbased meatdairy alternative plant based meat dairy alternative regulated specific regulation communique product subject general rule turkish food codex regulation food labeling provision information consumer ingredient product must clearly given label descending order name appearance pictorial representation advertising product must mislead consumer implying food question substitute meatdairy similar meatdairy labeling irradiated food irradiation food regulated regulation food irradiation published official gazette october 2019 available turkish food group irradiation dos apply given annex2 regulation according annex2 seven food group allowed irradiated türkiye follows bulb root tuber fresh frozen fruit vegetable cereal milled cereal stone fruit oil seed pulse dried fruit raw fish crustacean product fresh frozen frozen frog leg poultry red meat product raw frozen dried vegetable spice dried aromatic herb seasoning herbal tea animalsourced dried food chapter four regulation set rule labeling irradiated foodstuff follows product sold packaged form either irradiated treated ionizing radiation must present label addition green international food irradiation symbol product sold bulk either irradiated treated ionizing radiation must present label product commercial document addition green international food irradiation symbol product contains irradiated ingredient either irradiated treated ionizing radiation must accompany ingredient question label product contains composite ingredient irradiated ingredient either irradiated phrase treated ionizing radiation must accompany ingredient composite ingredient question label labeling halal food specific legislation labelling halal food agricultural product türkiye currently halal labeling voluntary advertising ministry trade published amendment regulation commercial advertisement unfair commercial practice official gazette december 2018 consolidated version available turkish article 24a regulation prohibits radio television program aimed child running advertisement beginning end show food beverage fall mohs red category includes chocolate candy wafer energy bar sweet sauce dessert cake cooky chip fruit juice energy drink soda pop sugar popsicle additionally advertisement radio television program aimed child need contain written verbal warning encouraging proper balanced diet clearly visible banner medium advertisement written verbal warning included manner suitable medium additionally introduced article prohibits promotion similar marketing tool aimed child goal increasing sale food [SECTION 2] 5996 veterinary service material phytosanitary food feed article intended harmonization regulation19352004ec come contact food turkish food codex harmonization regulation 412009ec composition labeling foodstuff suitable people intolerant gluten turkish food codex harmonization regulation 18812006ec sampling testing method dioxin similar product turkish food codex went effect 6302017 energy drink set limit caffeine glucuronolactone taurine inositol energy amount product requires warning label stating use product alcohol mixing alcohol consumption product advised child people year old elderly people diabetic people hypertension pregnant breastfeeding woman people metabolic disorder kidney problem susceptible caffeine sport beverage shouldnt consumed physical activity,1,FAIRS Country Report Annual_Ankara_Turkiye_TU2024-0028.txt
[SECTION 1] addition compulsory labeling certain foodstuff infant followon formula wine aromatized wine spirit drink food supplement energy drink nonalcoholic beverage sugar honey coffee meat meat product fruit juice dairy product additional specific labeling requirement vertical communique available gdfcs website turkish turkish food codex regulation nutrition claim nutrition claim may used labeling presentation advertising food placed market end consumer use nutrition claim false ambiguous misleading give rise doubt safety andor nutritional adequacy food encourage condone excess consumption food state suggest imply balanced varied diet provide appropriate quantity nutrient general refer change bodily function could give rise exploit fear consumer either textually pictorial graphic symbolic representation nutrition labeling mandatory nutrition claim made either label sort presentation advertisement food nutrition claim food food group made without prejudice vertical horizontal legislation exists nutrition labeling includes energy value fat saturated fat trans fat monounsaturated fat poly unsaturated fat carbohydrate sugar polyols starch protein required fiber saltsodium vitamin mineral 100 100 reference daily intake value energy nutrient given vitamin mineral displayed label amount vitaminsminerals met percent reference daily intake value 100 100 foodstuff milk dairy product product beverage beverage amount percent 100 product question reference daily intake value energy nutrient vitamin mineral energy nutrient reference intake value energy 8400kj 2000 kcal sugar total fat saturated fat salt carbohydrate 260 protein fiber value set adult reference daily intake value vitamin mineral nutrient nutrition reference nutrient nutrition reference intake value intake value vitamin 800 chloride 800 vitamin calcium 800 vitamin phosphorus 700 vitamin magnesium 375 vitamin iron thiamin zinc riboflavin cupper niacin manganese vitamin fluoride folic acid 200 selenium vitamin b12 chromium biotin molybdenum pantothenic acid iodine 150 potassium 2000 value set healthy people four year old nutrition claim condition allowed regulation follows energynutrient nutrition claim condition claim must least percent energycalorienutrients reduced less reduction amount energynutrients compared similar product claim regarding energy value made also stated feature food result decrease total energy value energy value 100 solid food energycalorie low must kcal 170kj energy value 100 liquid food must kcal 80kj table sweetener energy value serving must kcal sweetness must equivalent sucrose teaspoon sucrose energy value 100 liquid energy freecalorie food must kcal free 17kj table sweetener energy value serving must kcal sweetness must equivalent sucrose teaspoon sucrose amount fat 100 solid food fat low must amount fat 100 liquid food must amount fat 100 solid food fat free 100 liquid food must fat free food claim percent fat free indicating reduction amount fat made total saturated fatty acid saturated fat low trans fatty acid 100 solid food must total saturated fatty acid trans fatty acid 100 liquid food must 075 energy provided sum saturated fatty acid trans fatty acid must exceed percent total energy total saturated fatty acid saturated fat free trans fatty acid 100 solid 100 liquid food must amount alphalinolenic acid omega fatty acid sourcecontainadded ala 100 100 kcal food must least total amount eicosapentaenoic acid epa docosahexaenoic acid dha 100 100 kcal food must least amount alphalinolenic acid high ala 100 100 kcal food must least total amount eicosapentaenoic acid epa docosahexaenoic acid dha 100 100 kcal food must least least percent fatty acid monounsaturated fat high food must consist monounsaturated fat monounsaturated fat must provide percent energy food least percent fatty acid polyunsaturated fat high food must consist polyunsaturated fat polyunsaturated fat must provide percent energy food least percent fatty acid unsaturated fat high food must consist unsaturated fat unsaturated fat must provide percent energy food amount trans fatty acid fat trans fat contain trans food containing fat fat ingredient must less per total fat amount sugar 100 solid sugar low food must amount sugar 100 liquid food must amount sugar 100 solid sugar free 100 liquid food must food must contain mono contain added disaccharide food sugarwith added added sweetening purpose sugar food naturally contains sugar phrase naturally contains sugar indicated label reduction least percent sodium salt reducedless amount sodium equivalent salt must achieved compared similar product 100 solid 100 liquid low food must 012 sodium 031 salt 100 solid 100 liquid low food must 004 sodium salt 100 solid 100 liquid sodium freesalt free food must 0005 sodium 0013 salt value given source fiber increasedmore claim must met food must contain least percent fiber similar product amount fiber 100 food sourcecontainadded must least amount fiber 100 kcal must least amount fiber 100 food high must least amount fiber 100 kcal must least value given source protein increasedmore claim must met food must contain least percent protein similar product least percent energy value sourcecontainadded food must provided protein least percent energy value high food must provided protein micronutrient given annex vitamin andor mineral reduced guideline must least unit decrease percentage micronutrient contained product meeting nutritional reference value compared similar product amount vitamin andor sourcecontainadded mineral product must equal certain amount defined annex5 guideline twice amount specified high source claim food comply condition specified declaration provided statement reduced less included label referring energy relevant nutrient another similar statement may also included fat part declaration requirement apply food classified according fat content claim condition apply sodiumsalt micronutrient vitamin mineral given annex5 guideline claim condition apply food classified according fat content word plenty used instead word high turkish food codex regulation nutrition claim accessible turkish regulation health claim food food supplement mmda moh competent authority approval health claim used label presentation advertising food food supplement mmda published regulation health claim food food supplement official gazette dated april 2023 amended august 2023 consolidated version available turkish guideline health claim food food supplement implementation regulation website may 2023 available turkish detailed information allowed health claim condition please see gain report health claim policy food food supplement türkiye dated june 2024 labeling baby food baby food except used medical purpose regulated gdfc two vertical communique turkish food codex communique infant followon formula consolidated version available turkish turkish food codex communique supplementary food baby young child available turkish according communique term baby mean child age month young child mean child aged one three year addition compulsory information set turkish food codex regulation food labeling information consumer communique set additional compulsory labeling requirement product fall scope communique additional compulsory labelling infant formula infant formula must additional requirement label statement product suitable infant birth breastfed instruction appropriate preparation storage disposal product warning health hazard inappropriate preparation storage statement concerning superiority breast feeding statement recommending product used advice people qualification medicine nutrition pharmacy professional responsible maternal childcare nutrition claim allowed label infant formula additional compulsory labelling followon formula followon formula must additional requirement label statement product suitable infant age six month form part diversified diet used substitute breast milk first six month life decision begin complementary feeding including exception six month age made advice person qualification medicine nutrition pharmacy professional responsible maternal child care based individual infant specific growth development need instruction appropriate preparation storage disposal product warning health hazard inappropriate preparation storage nutrition claim allowed label followon formula line rule set regulation food labeling information consumer labeling presentation advertising infant formula followon formula must provide necessary information appropriate use product discourage breast feeding labelling presentation advertising infant formula followon formula must use term humanized materialized adapted term similar must designed way avoids risk confusion infant formula followon formula enables consumer make clear distinction particular text image color used statement lactose may used infant formula followon formula provided lactose carbohydrate present product statement lactose free contain lactose may used infant formula followon formula provided lactose content product greater mg100 kcal mg100 statement lactose free used infant formula followon formula manufactured protein source soy protein isolates accompanied statement suitable infant galactosaemia indicated font size prominence statement lactose free contain lactose close proximity additional compulsory labelling supplementary food supplementary baby food defined baby food processed cerealbased baby food processed cerealbased food turkish food codex communique supplementary food baby young child accessible turkish addition compulsory information set turkish food codex regulation food labeling information consumer communique supplementary food baby young child set specific additional compulsory labelling requirement product fall scope communique supplementary food baby young child must additional requirement label stated age must less four month product statement product used based advice healthcare professional information presence absence gluten indicated age product may used six month labeling food feed containing consisting deriving genetically engineered product addition general labeling rule specific labeling rule food feed containingconsisting deriving product set article regulation genetically modified organism product published official gazette august 2010 amended 2012 2014 currently event approved food use türkiye june 2025 corn event soybean event approved animal feed use imported animal feed must labeled contains genetically modified organism gmo contains approved event content percent within given shipment regulation available turkish labeling organic agricultural product product produced türkiye marketed domestically line requirement turkish organic legislation label turkish organic logo word organic imported organic product controlledinspected according turkish organic legislation certified organic complies domestically produced imported nonorganic agricultural product package box label designed product organic example label nonorganic product word bio biyo eco eko org implies misleads consumer product organic ninetyfive percent ingredient processed product produced compliance organic law force product labeled organic chapter five regulation organic agriculture principle practice available turkish set detailed requirement packaging labeling organic agricultural product marketed türkiye labeling plantbased meatdairy alternative plant based meat dairy alternative regulated specific regulation communique product subject general rule turkish food codex regulation food labeling provision information consumer guideline ingredient product must clearly given label descending order name appearance pictorial representation advertising product must mislead consumer implying food question substitute meatdairy like meatdairy according revised guideline labeling provision information consumer term suitable vegansvegetarians plantbased contain animalsourced ingredient etc vegan burger vegetarian sausage plantbased nugget etc used label description like chickenmeatfishflavored buttertasting prohibited whereas name like vegan cracker cheese flavor cracker cheese flavor allowed food namesbrands belonging milk dairy product meat meat product used label food intended vegan consumer example beverage manufactured using soy oat almond hazelnut etc word milk prohibited except coconut milk case word beverage used instead word milk label product description contain milk milk product prohibited description contain lactose allowed food intended vegetarianvegan consumer similarity shape usage area etc meat dairy product food animal origin expression suitable vegetariansvegans displayed main field view together name brand trade name food font size least equal name food contrasting color background way easily distinguishable consumer expressionsvisuals related animal sourced food expressionsvisuals may imply expression used label food intended vegan consumer label plantbased product placed market keeping language turkish must also comply rule given guideline labeling irradiated food irradiation food regulated regulation food irradiation published official gazette october 2019 available turkish food group irradiation dos apply given annex2 regulation according annex2 seven food group allowed irradiated türkiye follows bulb root tuber fresh frozen fruit vegetable cereal milled cereal stone fruit oil seed pulse dried fruit raw fish crustacean product fresh frozen frozen frog leg poultry red meat product raw frozen dried vegetable spice dried aromatic herb seasoning herbal tea animalsourced dried food chapter four regulation set rule labeling irradiated foodstuff follows product sold packaged form either irradiated treated ionizing radiation must present label addition green international food irradiation symbol product sold bulk either irradiated treated ionizing radiation must present label product commercial document addition green international food irradiation symbol product contains irradiated ingredient either irradiated treated ionizing radiation must accompany ingredient question label product contains composite ingredient irradiated ingredient either irradiated phrase treated ionizing radiation must accompany ingredient composite ingredient question label labeling halal food specific legislation labelling halal food agricultural product türkiye currently halal labeling voluntary considering sensitivity related religion consumer statement contain pork fatpork meat etc used label case product containing pork porksourced ingredient mandatory label product contains porkporksourced ingredient advertising article 24a regulation commercial advertisement unfair commercial practice published ministry trade consolidated version available turkishprohibits radio television program aimed child running advertisement beginning end show food beverage fall mohs red category includes chocolate candy wafer energy bar sweet sauce dessert cake cooky pie chip fruit juice crispy snack energy drink nonalcoholic beverage added sugar sweetener popsicle additionally advertisement radio television program aimed child need contain written verbal warning encouraging proper balanced diet clearly visible banner medium advertising written verbal warning included manner suitable medium additionally aforementioned article prohibits promotion similar marketing tool aimed child goal increasing sale food [SECTION 2] 5996 veterinary service material phytosanitary food feed article intended harmonization regulation19352004ec come contact food turkish food codex harmonization regulation 412009ec composition labeling food suitable people intolerant gluten turkish food codex harmonization regulation 18812006ec sampling testing method dioxin similar product turkish food codex went effect 6302017 energy drink set limit caffeine glucuronolactone taurine inositol energy amount product requires warning label stating use product alcohol mixing alcohol consumption product advised child people year old elderly people diabetic people hypertension pregnant breastfeeding woman people metabolic disorder kidney problem susceptible caffeine sport beverage shouldnt consumed physical activity advised consume 500 mlday turkish food codex went effect 4222002 dietary food identifies scope product property labelling requirement special purpose dietary food special purpose defines baby food energy restricted food loss weight dietary food medical purpose sport food food diabetic dietary food special purpose turkish food codex went effect 1262003 sport food set criterion sport food like sport drink bar high protein containing product high carbohydrate containing product etc,1,FAIRS Country Report Annual_Ankara_Turkiye_TU2025-0030.txt
[SECTION 1] example nonalcoholic beverage containing 150 mgl caffeine containing medicinal plant extract amount could physiological effect following written warning recommended people pregnant nursing people suffering increased nervous irritability insomnia arterial hypertension eaeu technical regulation also establish productspecific labeling requirement fatandoil product juice meat alcohol milk dairy product specialized dietary food fish potable water information please see gain report rs1343 custom union food technical regulation force july 2013 rs1382 custom union technical regulation milk dairy product rs1384 custom union technical regulation meat rs1734 technical regulation safety fish fish product rs1752 eaeu technical regulation packaged water rs20200037 eaeu technical regulation safety alcohol product eaeu technical regulation also require product complied regulation passed conformity assessment procedure marked eac figure approved decision commission 711 july 2011 eac meant show product accordance relevant eaeu technical regulation passed procedure conformity assessments3 detail please see gain report rs1493 eurasian conformity mark poultry red meat rs1506 eurasian conformity mark food product 3assessment confirmation conformity eaeu carried legal entity registered accordance legislation eurasian economic union member state territory importer specific labeling requirement genetically engineered material technical regulation 0222011 food labeling set requirement labeling genetically engineered product product component processed material label must show gmo product product obtained gmo even product contain recombinant dna protein however concentration percent ingredient considered trace therefore acceptable food product derived microorganism including bacteria yeast filamentous fungi must include following label product containing viable microorganism product contains live genetically modified microorganism product containing unviable microorganism product obtained use genetically modified microorganism product purified microorganism product obtained based component purified microorganism product contains component obtained using genetically modified microorganism inscription gmo marked next eac inscription similar eac form size requirement information organismsline feed plant origin stipulated 0152011 safety grain cover grain oilseed please see gain report rs1250 custom union technical regulation safety grain unofficial english translation stipulates grain oilseed transported unpacked accompanied shipping document ensure traceability provide information organismslines presence organismslines higher percent grain oilseed identified genetically modified grain grain obtained use genetically modified organism grain contains component genetically modified organism include unique identifier transformation event 0152011 safety grain stipulates grain oilseed food feed use may contain registered line presence percent nonregistered line prohibited product declared nonge product,1,FAIRS Country Report Annual_Astana(Nur-Sultan)_Kazakhstan - Republic of_KZ2024-0004.txt
